CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/28/2014,0:15,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2919476,PASSENGER VEHICLE,OTHER,,,
01/09/2013,19:00,,,40.7713071,-73.8766313,"(40.7713071, -73.8766313)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3107034,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/08/2021,12:56,,,,,,BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4391621,Sedan,Sedan,,,
06/28/2014,12:24,,,40.6086217,-74.1482289,"(40.6086217, -74.1482289)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3108374,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/01/2014,3:25,,,,,,QUEENS PLAZA SOUTH              ,CRESCENT STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,244710,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/08/2021,14:25,,,40.67376,-73.73431,"(40.67376, -73.73431)",LAURELTON PARKWAY               ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4390288,Sedan,Sedan,,,
01/01/2014,5:05,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2837017,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/28/2014,13:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2958243,PASSENGER VEHICLE,UNKNOWN,,,
01/09/2013,3:21,,,40.6985448,-73.9623489,"(40.6985448, -73.9623489)",,,,2,0,0,0,0,0,2,0,Unspecified,,,,,2985324,PASSENGER VEHICLE,,,,
02/08/2021,16:00,BRONX,10466,40.88758,-73.86241,"(40.88758, -73.86241)",,,654       EAST 224 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4390520,Sedan,,,,
02/08/2021,18:20,,,,,,WEST 106 STREET                 ,DUKE ELLINGTON PARKWAY,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4390377,Bus,,,,
01/08/2013,0:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3045095,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/31/2013,11:00,,,,,,,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3097534,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/28/2014,17:00,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2897965,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/08/2013,13:00,,,,,,WESTCHESTER AVENUE              ,EAST TREMONT AVENUE             ,,1,0,0,0,0,0,1,0,Unspecified,,,,,89595,SPORT UTILITY / STATION WAGON,,,,
01/08/2013,13:44,,,,,,,,P/L OF 2795 RICHMOND AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,296021,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/08/2013,14:15,,,,,,CLOVE ROAD                      ,RICHMOND ROAD                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,296019,PASSENGER VEHICLE,,,,
12/31/2013,16:14,,,,,,,,PARKING LOT OF 976 3 AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,159624,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/28/2014,20:00,,,,,,FILLMORE AVENUE                 ,FLATBUSH AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,359743,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2013,16:50,,,40.7829112,-73.9857705,"(40.7829112, -73.9857705)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2851525,PASSENGER VEHICLE,UNKNOWN,,,
02/07/2021,1:30,,,,,,LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4389698,Sedan,,,,
12/31/2013,17:15,,,,,,,,PARKING LOT OF 186-16 UNION TPK         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,237944,PASSENGER VEHICLE,UNKNOWN,,,
02/07/2021,21:40,,,40.715553,-73.82617,"(40.715553, -73.82617)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4390142,Sedan,,,,
06/28/2014,21:26,,,,,,,,885 EAST 56 STREET(DRIVEWAY)            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,360286,PASSENGER VEHICLE,UNKNOWN,,,
01/08/2013,17:40,,,40.7480679,-73.8491726,"(40.7480679, -73.8491726)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Fatigued/Drowsy,,,,3065282,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2013,18:00,,,40.5834157,-73.9712871,"(40.5834157, -73.9712871)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Outside Car Distraction,,,,2940916,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/08/2013,17:45,,,40.74091,-73.7266443,"(40.74091, -73.7266443)",,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3017199,PASSENGER VEHICLE,PICK-UP TRUCK,,,
02/06/2021,12:00,QUEENS,11102,40.76923,-73.923454,"(40.76923, -73.923454)",,,27-37     27 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4390529,Sedan,,,,
01/08/2013,1:08,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,2983287,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
02/06/2021,12:30,BROOKLYN,11203,40.651234,-73.93032,"(40.651234, -73.93032)",,,889       UTICA AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,4390825,Sedan,,,,
01/08/2013,21:00,,,,,,,,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,2912781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/28/2014,8:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2928024,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
